name,group,math,physics,cs,attendance,city,enrollment_year,scholarship,project_score
Максим Петров,B2,77,98,51,96%,Saint Petersburg,2024,True,64.0
Иван Степнов,C1,56,66,84,75,,2022,True,92.0
Виктория Ахматова,B1,58,98%,65,84,Kazan,2019,False,60.0
Григорий Сидоров,C1,57,51,90,59,,2024,True,77.0
Мария Соколова,C1,61,51,85,40,Kazan,2023,True,91.0
Даниил Гриценко,A2,83,77,82,47,Novosibirsk,2021,False,
Роберт Гиреев,B1,82,72,53,85percent,,2021,True,
Михаил Астафьев,B1,97,86,82%,55,Kazan,2019,False,70.0
Александра Рудова,B1,72,81,63,53,Novosibirsk,2022,True,80.0
Лидия Семенова,C1,73,82,70,0.51,Kazan,2022,False,85.0
